split,class_index,class_name,count,percentage_within_split
train,0,AnnualCrop,2100,11.11111111111111
train,1,Forest,2100,11.11111111111111
train,2,HerbaceousVegetation,2100,11.11111111111111
train,3,Highway,1750,9.25925925925926
train,4,Industrial,1750,9.25925925925926
train,5,Pasture,1400,7.407407407407407
train,6,PermanentCrop,1750,9.25925925925926
train,7,Residential,2100,11.11111111111111
train,8,River,1750,9.25925925925926
train,9,SeaLake,2100,11.11111111111111
validation,0,AnnualCrop,450,11.11111111111111
validation,1,Forest,450,11.11111111111111
validation,2,HerbaceousVegetation,450,11.11111111111111
validation,3,Highway,375,9.25925925925926
validation,4,Industrial,375,9.25925925925926
validation,5,Pasture,300,7.407407407407407
validation,6,PermanentCrop,375,9.25925925925926
validation,7,Residential,450,11.11111111111111
validation,8,River,375,9.25925925925926
validation,9,SeaLake,450,11.11111111111111
test,0,AnnualCrop,450,11.11111111111111
test,1,Forest,450,11.11111111111111
test,2,HerbaceousVegetation,450,11.11111111111111
test,3,Highway,375,9.25925925925926
test,4,Industrial,375,9.25925925925926
test,5,Pasture,300,7.407407407407407
test,6,PermanentCrop,375,9.25925925925926
test,7,Residential,450,11.11111111111111
test,8,River,375,9.25925925925926
test,9,SeaLake,450,11.11111111111111
