candidate,epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,validation_macro_f1,validation_log_loss,learning_rates
candidate_a,1,0.20021111397358476,0.9394179894179894,0.14566532718178668,0.9550617283950618,0.9532812956995738,0.14566861182176608,"[0.0001, 0.0005]"
candidate_a,2,0.10946897181411269,0.964920634920635,0.12957571186033295,0.96,0.9584146761036564,0.12905055636893795,"[0.0001, 0.0005]"
candidate_a,3,0.08504263172152812,0.9729629629629629,0.11517382080103328,0.9649382716049383,0.9637418744082107,0.11516941875456065,"[0.0001, 0.0005]"
candidate_a,4,0.06816685520154399,0.9783597883597883,0.09956937757447178,0.9696296296296296,0.9684642333463513,0.09956568509127711,"[0.0001, 0.0005]"
candidate_a,5,0.04966638006225583,0.9844973544973545,0.153528611479718,0.9614814814814815,0.9597757743555603,0.15286143401510005,"[0.0001, 0.0005]"
candidate_a,6,0.04791063394498514,0.9851322751322751,0.09401725785231885,0.9725925925925926,0.9717224788178017,0.09402005962161392,"[0.0001, 0.0005]"
candidate_a,7,0.04594074259517054,0.9852380952380952,0.09885437708761957,0.9745679012345679,0.973777028149063,0.0972479750372852,"[0.0001, 0.0005]"
candidate_a,8,0.0342443754244103,0.9873544973544973,0.11656379740731215,0.9733333333333334,0.9724053139155602,0.115256882132829,"[0.0001, 0.0005]"
candidate_a,9,0.029893405835227992,0.9897883597883598,0.12569359046441536,0.9674074074074074,0.9661829834231016,0.12481936595923553,"[2e-05, 0.0001]"
candidate_a,10,0.015491676935679698,0.9947619047619047,0.09196513955607827,0.9755555555555555,0.9746121642797518,0.0907619176037092,"[2e-05, 0.0001]"
candidate_a,11,0.011926823318323057,0.9962433862433863,0.0960393032896114,0.9758024691358025,0.9746414513620241,0.09423518251884036,"[2e-05, 0.0001]"
candidate_a,12,0.007489707539321253,0.9978306878306878,0.08919088654955964,0.9785185185185186,0.977565113695982,0.0885230745751517,"[2e-05, 0.0001]"
