candidate,epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,validation_macro_f1,validation_log_loss,learning_rates
candidate_b,1,0.2587086918999357,0.9262433862433862,0.1380854325235626,0.9548148148148148,0.9530193127404877,0.13808734375271742,"[1e-05, 5e-05, 0.0005]"
candidate_b,2,0.10654752408385908,0.9666137566137566,0.11971950345569186,0.9639506172839506,0.9627787315036931,0.11971675611043958,"[1e-05, 5e-05, 0.0005]"
candidate_b,3,0.07909837506120167,0.9746560846560847,0.0947308514147629,0.9696296296296296,0.9685481343414952,0.09473506779342059,"[1e-05, 5e-05, 0.0005]"
candidate_b,4,0.0686131315951349,0.978042328042328,0.10156664907230915,0.9681481481481482,0.9672213212609325,0.10156659488068154,"[1e-05, 5e-05, 0.0005]"
candidate_b,5,0.05209248328975663,0.9834391534391534,0.1261353543952803,0.9651851851851851,0.9642481616662538,0.1261336676158183,"[1e-05, 5e-05, 0.0005]"
candidate_b,6,0.04987133909194243,0.9841269841269841,0.09247648383272283,0.9738271604938271,0.973202241200088,0.09247656793658088,"[1e-05, 5e-05, 0.0005]"
candidate_b,7,0.039473029349945364,0.986984126984127,0.07438969117623069,0.9775308641975309,0.97700273761596,0.07439034946798424,"[1e-05, 5e-05, 0.0005]"
candidate_b,8,0.03902603373956428,0.9877777777777778,0.09282658094239139,0.9775308641975309,0.9768864638462395,0.09282396733469714,"[1e-05, 5e-05, 0.0005]"
candidate_b,9,0.03218992547935279,0.9890476190476191,0.09828885555261585,0.9755555555555555,0.9749158262089864,0.09828531991559818,"[1e-05, 5e-05, 0.0005]"
candidate_b,10,0.027607098988321407,0.9909523809523809,0.10026546133883343,0.9762962962962963,0.9756031709012916,0.09974759835341238,"[2.0000000000000003e-06, 1e-05, 0.0001]"
candidate_b,11,0.017908429241660372,0.9936507936507937,0.09075378400307037,0.9765432098765432,0.9758281694882527,0.08999670615570121,"[2.0000000000000003e-06, 1e-05, 0.0001]"
