,mean_red,mean_green,mean_blue,std_red,std_green,std_blue,brightness,contrast,entropy
AnnualCrop,1.0434605689699508,2.8073173637639544,-2.4110305432074135,11.563610069789657,11.606994017741519,-4.076529076565131,1.724400424691227,-15.748580229438913,-5.673793662299564
Forest,-4.863960815153266,2.3594644340056603,-3.8556367529987305,4.694369255233386,2.842393647537123,-11.424081370936012,1.557848545817059,-9.29579067604337,-1.0789695818996978
HerbaceousVegetation,5.9328563133050025,-1.9966519566079264,-0.5757879348507988,-42.991085811371754,-51.932083954531485,-9.80791855852698,-2.174662006356532,103.0050410240261,0.9650442549847614
Highway,1.0556245206373245,-4.115835635471826,0.27367451023535044,9.913684395454602,12.30412510025606,5.918778863785574,2.4846809713501234,-23.706467042044242,-0.38249285804049066
Industrial,1.0763069397333056,-6.476098444791594,6.743915553366965,0.23802362220476397,-0.8494223993391357,15.525731742318962,-1.9322023388044323,-10.91976784314802,6.240339713505467
Pasture,-6.711417938448995,7.964657703296407,-1.5204726699857565,8.918740401127922,3.690613631845578,-4.165884989526607,-0.8891604405166126,-12.393632728364311,0.7744610737116311
PermanentCrop,1.1831407938314047,1.8069125417186571,-3.2345753722211277,-0.1968959772218761,3.161565835937219,-3.6130945183483756,1.659653433691807,0.8824068692267458,2.131740660904615
Residential,5.620245234576435,-7.33912921577537,3.85182366487478,-4.572276456200723,-8.101808382056026,15.85570367822128,-1.8797056971244233,-6.308040481587409,10.29340394578904
River,-1.949490603684276,0.7447411283149977,0.727203463181239,11.280802046607665,21.09004962056299,0.37722913872074554,-0.9764921268624516,-27.20270074915084,-2.5620352299018947
SeaLake,-2.386765013768117,4.244622081549314,0.0008860816083422654,1.1510284543764766,6.187572882046539,-4.5899349091501245,0.4256392341139865,1.6875318565224144,-10.707698316760139
